question,Choix_001,Choix_002,choix_003,Choix_004,reponse,type,difficulte
2+2=?,4,5,3,8,4,Culture Generale,simple
Quel est le point d'ébullition de l'eau? (en degres celsius),100,0,10,1000,100,Culture Generale,simple
Qui a peint la Joconde?,Michel-Ange,Leonardo Di Caprio,Sandro Botticelli,Leonardo Da Vinci,Leonardo Da Vinci,Culture Generale,simple
En quelle année Christophe Colomb découvrit-il l'Amérique?,1492,1592,1703,1540,1492,Culture Generale,simple
Qui a inventé la première l'ampoule?,Thomas Edison,Graham Bell,Abraham Spanel,Leonardo Da Vinci,Thomas Edison,Culture Generale,simple
La Coupe du Monde de football se dispute tous les _ ans.,2,4,5,6,4,Culture Generale,moyenne
Qui a sculpté Le Penseur?,Michel-Ange,Frédéric-Auguste Bartholdi,Auguste Rodin,Jérôme Duquesnoy,Auguste Rodin,Culture Generale,moyenne
En quelle année la 1ere guerre mondiale a commencé?,1924,1818,1914,1918,1914,Culture Generale,moyenne
En quelle année la révolution française a commencé?,1809,1799,1789,1779,1789,Culture Generale,moyenne
Qui est considéré par beaucoup comme le père fondateur de la philosophie occidentale?,Aristote,Diogene,Platon,Socrate,Socrate,Culture Generale,moyenne
Quelle langue est la plus parlé au monde?,Hindi,Anglais,Mandarin,Espagnol,Anglais,Culture Generale,difficil
Quelle est la capitale de la France?,Lyon,Marseille,Paris,Strasbourg,Paris,Capitales de pays,simple
Quelle est la capitale de l'Espagne?,Barcelone,Madrid,Andalousie,Cordoue,Madrid,Capitales de pays,simple
Quelle est la capitale de l'Algerie?,Alger,Annaba,Oran,Tlemcen,Alger,Capitales de pays,simple
Quelle est la capitale du Maroc?,Rabat,Casablanca,Meknes,Fes,Rabat,Capitales de pays,simple
Quelle est la capitale du Portugal?,Porto,Faro,Evora,Lisbon,Lisbon,Capitales de pays,simple
Quelle est la capitale de la Tunisie?,Hammamet,Kairouan,Tunis,Sousse,Tunis,Capitales de pays,simple
Quelle est la capitale de la Suisse?,Berne,Geneve,Lugano,Zurich,Berne,Capitales de pays,simple
Quelle est la capitale de l'Italie?,Venice,Milan,Turin,Rome,Rome,Capitales de pays,simple
Quelle est la capitale de l'Allemagne?,Frankfurt,Berlin,Hamburg,Munich,Berlin,Capitales de pays,simple
Quelle est la capitale de l'Angleterre?,Manchester,Bournmouth,Londres,Cardiff,Londres,Capitales de pays,simple
Quelle est la capitale de la Belgique?,Leuven,Mechelen,Liege,Brusssels,Brussels,Capitales de pays,simple
Quelle est la capitale de la Grece?,Athenes,Tripolis,Thessaloniki,Patras,Athenes,Capitales de pays,simple
Quelle est la capitale des Etats Unis d'Amerique?,New York,Washington,Los Angeles,Chicago,Washington,Capitales de pays,simple
Quelle est la capitale de l'Australie?,Sidney,Melbourne,Canberra,Adelaide,Canberra,Capitales de pays,simple
Quelle est la capitale du Bresil?,Rio de Janeiro,Manaus,Sao Paulo,Brasilia,Brasilia,Capitales de pays,simple
Quelle est la capitale du Canada?,Ottawa,Toronto,Montreal,Vancouver,Ottawa,Capitales de pays,simple
Quelle est la capitale du Canada?,Shenzhen,Beijing,Shangai,Chongqing,Beijing,Capitales de pays,simple
Quelle est la capitale de la Coree du Sud?,Gyeongju-si,Gwangju,Seoul,Busan,Seoul,Capitales de pays,simple
Quelle est la capitale de l'Inde?,Bengaluru,Jaipur,Mumbai,New Delhi,New Delhi,Capitales de pays,simple
Quelle est la capitale de l'Israel?,Jerusalem,Beer-Sheva,Tel-Aviv,Haifa,Jerusalem,Capitales de pays,simple
Quelle est la capitale du Japon?,Kobe,Tokyo,Osaka,Kyoto,Tokyo,Capitales de pays,simple
Quelle est la capitale du Mexique?,Merida,Oaxaca,Mexico City,Guadalajara,Mexico City,Capitales de pays,simple
Quelle est la capitale de la Pologne?,Warsaw,Cracow,Poznan,Lublin,Warsaw,Capitales de pays,simple
Quelle est la capitale de la Russie?,Saint Petersbourg,Moscou,Kazan,Samara,Moscou,Capitales de pays,simple
Quelle est la capitale du Sénégal?,Saint Louis,Tambacounda,Dakar,Kaolack,Dakar,Capitales de pays,simple
Quelle est la capitale de la Turquie?,Izmir,Antalya,Istanbul,Ankara,Ankara,Capitales de pays,simple
Quelle est la capitale de la Croatie?,Bjelovar,Zagreb,Karlovac,Osijek,Zagreb,Capitales de pays,moyenne
Quelle est la capitale de la Suede?,Gothenburg,Malmo,Stockholm,Uppsala,Stockholm,Capitales de pays,moyenne
Quelle est la capitale de la Norvege?,Bergen,Kristinsand,Stavanger,Oslo,Oslo,Capitales de pays,moyenne
Quelle est la capitale de l'Arabie Saoudite?,Riyadh,Mecca,Jeddah,Buraydah,Riyadh,Capitales de pays,moyenne
Quelle est la capitale du Chili?,Valparaiso,Santiago,Antofagasta,La Serena,Santiago,Capitales de pays,moyenne
Quelle est la capitale de la Colombie?,Cali,Medellín,Bogotá,Cartagena,Bogotá,Capitales de pays,moyenne
Quelle est la capitale de la Cote d'Ivoire?,Bouake,Man,Abidjan,Yamoussoukro,Yamoussoukro,Capitales de pays,moyenne
Quelle est la capitale du Danemark?,Copenhagen,Aarhus,Helsingør,Odense,Copenhagen,Capitales de pays,moyenne
Quelle est la capitale de l'Egypte?,Alexandria,Cairo,Luxor,Giza,Cairo,Capitales de pays,moyenne
Quelle est la capitale de l'Equateur?,Loja,Guayaquil,Quito,Cuenca,Quito,Capitales de pays,moyenne
Quelle est la capitale de l'Islande?,Akureyri,Reykjanesbær,Borgarnes,Reykjavík,Reykjavík,Capitales de pays,moyenne
Quelle est la capitale de la Jamaique?,Kingston,Montego Bay,Portmore,Old Harbour,Kingston,Capitales de pays,moyenne
Quelle est la capitale du Liban?,Sidon,Beirut,Baalbek,Byblos,Beirut,Capitales de pays,moyenne
Quelle est la capitale du Mali?,Timbuktu,Gao,Bamako,Djenne,Bamako,Capitales de pays,moyenne
Quelle est la capitale du Myanmar?,Moulmein,Mandalay,Rangoon,Naypyidaw,Naypyidaw,Capitales de pays,moyenne
Quelle est la capitale du Pakistan?,Islamabad,Karachi,Lahore,Rawalpindi,Islamabad,Capitales de pays,moyenne
Quelle est la capitale du Pays Bas?,Rotterdam,Utrecht,Amsterdam,Haarlem,Amsterdam,Capitales de pays,moyenne
Quelle est la capitale du Perou?,Iquitos,Huancayo,Cusco,Lima,Lima,Capitales de pays,moyenne
Quelle est la capitale des Philippines?,Manila,Davao City,Cebu City,Bacolod,Manila,Capitales de pays,moyenne
Quelle est la capitale du Qatar?,Al Wakrah,Doha,Mesaieed,Al Khor,Doha,Capitales de pays,moyenne
Quelle est la capitale du Singapour?,Changi Village,Jurong East,Singapour,Bukit Panjang,Singapour,Capitales de pays,moyenne
